ID,Account 18 Digit ID,Account Name,Parent ID,Parent Name
9273,001o000000ivYQnAAM,Indianapolis Power & Light Company (AES),001o000000ivWbDAAU,AES Corporation
4922,001o000000ivWfSAAU,Dayton Power & Light,001o000000ivWbDAAU,AES Corporation
12647,001o000000ivYLNAA2,ALLETE,001o000000ivYLNAA2,ALLETE
18336,001o000000ivXYLAA2,Superior Water and Light Company,001o000000ivYLNAA2,ALLETE
20856,0011J00001EW9FdQAL,Wisconsin Power & Light Co.,001o000000ivX5MAAU,Alliant Energy
9417,0011J00001CumurQAB,Interstate Power and Light Company,001o000000ivX5MAAU,Alliant Energy
19436,001o000000ivWXAAA2,Ameren Missouri,001o000000ivVwVAAU,Ameren Corporation
56697,001o000000ivVwUAAU,Ameren Illinois,001o000000ivVwVAAU,Ameren Corporation
14006,001o000000ivYQkAAM,AEP Ohio,001o000000ivWZqAAM,American Electric Power
9324,001o000000ivYQ6AAM,Indiana Michigan Power,001o000000ivWZqAAM,American Electric Power
22053,001o000000ivXscAAE,Kentucky Power Company,001o000000ivWZqAAM,American Electric Power
15474,001o000000ivXK9AAM,Public Service Company of Oklahoma,001o000000ivWZqAAM,American Electric Power
733,001o000000ivWYOAA2,Appalachian Power Company,001o000000ivWZqAAM,American Electric Power
17698,001o000000ivVKDAA2,Southwestern Electric Power Company,001o000000ivWZqAAM,American Electric Power
3278,001o000000ivVKCAA2,AEP Texas,001o000000ivWZqAAM,American Electric Power
20977,001o000000ivZBTAA2,"Woodsfield, Village of",001o000000ivZ4WAAU,"American Municipal Power, Inc"
21048,001o000000ivZBOAA2,Wyandotte Municipal Serv Comm,001o000000ivZ4WAAU,"American Municipal Power, Inc"
21101,001o000000ivZBIAA2,"Yellow Springs, Village of",001o000000ivZ4WAAU,"American Municipal Power, Inc"
21160,001o000000ivZAxAAM,"Zelienople, Bourough of",001o000000ivZ4WAAU,"American Municipal Power, Inc"
20232,001o000000ivZ3CAAU,"Weatherly, Bourough of",001o000000ivZ4WAAU,"American Municipal Power, Inc"
20471,001o000000ivZ2rAAE,"Wharton, Village of",001o000000ivZ4WAAU,"American Municipal Power, Inc"
20731,001o000000ivZ2bAAE,"Williamstown, City of",001o000000ivZ4WAAU,"American Municipal Power, Inc"
4794,001o000000ivZ0YAAU,"Danville, City of",001o000000ivZ4WAAU,"American Municipal Power, Inc"
14650,001o000000ivZ0IAAU,"Pemberville, Village of",001o000000ivZ4WAAU,"American Municipal Power, Inc"
4683,001o000000ivZ0iAAE,"Cuyahoga Falls, City of",001o000000ivZ4WAAU,"American Municipal Power, Inc"
7359,001o000000ivYZVAA2,"Goldsboro, Bourough of",001o000000ivZ4WAAU,"American Municipal Power, Inc"
7445,001o000000ivYZOAA2,Grafton Village of,001o000000ivZ4WAAU,"American Municipal Power, Inc"
